vertex,x,y,z,basis,conductor
222,-9.8333333333000024e+00,2.0999999999999988e+00,-3.6766970923999982e+00,122,0
223,-9.8333333333000024e+00,2.0999999999999988e+00,-3.3083277737999959e+00,123,0
224,-9.8333333333000024e+00,2.0999999999999988e+00,-3.0748338744000003e+00,124,0
225,-9.8333333333000024e+00,2.0999999999999983e+00,-1.2458333333249978e+00,125,0
226,-9.8333333333000024e+00,2.0999999999999983e+00,-6.0000000000000442e-01,126,0
227,-9.8333333333000024e+00,2.0999999999999983e+00,-4.2343121930000249e-01,127,0
228,-9.8333333333000024e+00,2.0999999999999983e+00,3.9999999999999486e-01,128,0
229,-9.8333333333000024e+00,2.0999999999999979e+00,2.2561429775999944e+00,129,0
230,-9.8333333333000024e+00,2.0999999999999979e+00,2.9161749516999946e+00,130,0
231,-9.8333333333000024e+00,2.0999999999999974e+00,5.4902959482999938e+00,131,0
232,-9.8333333333000024e+00,2.0999999999999974e+00,6.3999999999999977e+00,132,0
233,-9.8333333333000024e+00,2.0999999999999970e+00,7.7926541694999942e+00,133,0
234,-9.8333333333000024e+00,2.0999999999999970e+00,8.3999999999999932e+00,134,0
235,-9.1053861357000034e+00,2.0999999999999970e+00,8.3999999999999932e+00,135,0
236,-8.9811602166000046e+00,2.0999999999999970e+00,8.3999999999999932e+00,136,0
237,-8.6462523628000003e+00,2.0999999999999970e+00,8.3999999999999932e+00,137,0
238,-5.4999999999999973e+00,2.0999999999999970e+00,8.3999999999999932e+00,138,0
239,-1.8749999997500005e-01,2.0999999999999970e+00,8.3999999999999932e+00,139,0
240,6.5000000000000053e+00,2.0999999999999970e+00,8.3999999999999932e+00,140,0
241,6.8164791795999999e+00,2.0999999999999970e+00,8.3999999999999932e+00,141,0
242,9.4091201579999986e+00,2.0999999999999970e+00,8.3999999999999932e+00,142,0
243,9.4583333333500033e+00,2.0999999999999970e+00,8.3999999999999932e+00,143,0
244,1.1750000000000002e+01,2.0999999999999970e+00,8.3999999999999932e+00,144,0
245,1.1750000000000002e+01,2.0999999999999970e+00,8.0057380650999832e+00,145,0
246,1.1750000000000002e+01,2.0999999999999974e+00,6.3999999999999861e+00,146,0
247,1.1750000000000002e+01,2.0999999999999974e+00,4.2651419348999831e+00,147,0
248,1.1750000000000002e+01,2.0999999999999974e+00,3.9904942256999871e+00,148,0
249,1.1750000000000002e+01,2.0999999999999979e+00,3.6224346049999920e+00,149,0
250,1.1750000000000002e+01,2.0999999999999979e+00,1.0458333333249916e+00,150,0
251,1.1750000000000002e+01,2.0999999999999979e+00,9.3882169259998616e-01,151,0
252,1.1750000000000002e+01,2.0999999999999983e+00,3.9999999999999097e-01,152,0
253,1.1750000000000002e+01,2.0999999999999983e+00,-6.0000000000000819e-01,153,0
254,1.1750000000000002e+01,2.0999999999999983e+00,-9.5001078950001216e-01,154,0
255,1.1750000000000002e+01,2.0999999999999983e+00,-2.0032897812000088e+00,155,0
256,1.1750000000000002e+01,2.0999999999999988e+00,-4.8902812785000016e+00,156,0
257,1.1750000000000002e+01,2.0999999999999992e+00,-5.9664012199999972e+00,157,0
258,1.1750000000000002e+01,2.0999999999999992e+00,-6.1819236101000028e+00,158,0
259,1.1750000000000002e+01,2.0999999999999992e+00,-6.5999999999999961e+00,159,0
260,1.1750000000000002e+01,2.0999999999999992e+00,-6.7087678181999895e+00,160,0
